,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22,principal component 23,principal component 24,principal component 25,principal component 26,principal component 27,principal component 28,principal component 29,principal component 30,principal component 31,principal component 32,principal component 33,principal component 34,principal component 35,principal component 36
20,-92.01045517245683,10.616965489020838,7.719676498301501,-9.226532355791331,2.1214203287046813,-2.2267871397822305,26.982566711324054,-41.05893692835731,-21.302070297028052,8.602403410913663,19.020175461507815,-36.96826007304613,-18.705030898842995,-1.837170363194912,23.191414403665753,-27.471039946279326,2.0248038049834127,18.259315035471182,9.502260103312729,20.63796881216115,-4.181988857346391,-19.73326169316439,-18.894142050376487,2.8285119223835706,-14.359757549357246,42.6110858835269,-21.94455266539797,-10.786073207042962,17.29432788376643,-5.398032879427901,23.685027511722033,-1.5972304583438584,-7.99733790937151,-2.915339384553671,-11.100049206328269,-8.867559080780442
21,-90.42195286093117,-44.728931891215275,-92.92218647592253,-10.799495105149035,-50.77459423929386,12.256879606927667,47.709039248319776,16.93264275552116,62.914585972741754,-10.727642421538416,7.4029407524268915,3.6946017368214705,21.8889873124608,-19.62112146728562,-24.8726016648728,-23.57407865466624,33.36244795454495,-18.940176742728113,6.328046568486061,-1.1188218622025112,-16.9199824064953,-5.914950781635438,-21.057086116521532,-10.946380469452,-0.9639724870364473,-7.37424649733387,-2.4489533708583138,4.49260562154747,1.3947055051126405,4.172213888235265,-9.202727422794762,-2.922239009448379,2.1338432770484923,-1.1000818198586568,-6.043447451076125,-15.549536520368333
22,22.241968353497935,10.609467116287446,-59.955325132806585,-31.91377855102314,-47.96205112186783,-48.62244654355019,28.928398069844665,-5.521947154034653,-14.62259993388476,-1.027245561838912,5.457856465652521,-4.373534061392593,9.714627410166768,-2.353258234665757,-4.752335078595185,7.527780446457222,9.849031871459086,-4.847380712122263,-34.53106499300708,-2.2685031277097183,23.609174378760315,16.43719848724632,11.120576455537355,-17.49446898233073,1.8767064172580579,-11.171849684708864,7.959692231692879,-6.940719658295641,-15.973001775451879,-4.71885198179491,15.176719919848708,-19.158232800169387,-5.698146643496913,-1.291675348751553,-10.468290406322907,15.364673694750449
23,-10.26666308851507,9.678646359448997,16.3453825088569,68.56747709515719,-7.524088049061067,-2.7652808337023185,-23.106619823567723,-35.047494082320426,-35.26059535006845,-51.9989466487308,-30.745566486877156,-6.6998138696061975,36.75197729748041,14.565122379128425,-19.117039718101495,3.9209889962615234,1.4027470265852382,6.529903821967347,28.3404029196856,-25.569262635826888,5.837247767769394,4.0870495643759215,-3.961197003548461,-8.901739758752925,5.684822790502726,-8.980486577486657,-33.55011870993833,9.372443048946726,-5.645790857495407,-1.1633379975357336,-0.10107300722355522,-3.279080756402279,-9.976294864613852,-3.107053730135083,3.435691123262359,9.335348107645851
24,138.51704506316912,-22.653753721264902,19.152157503851907,-43.78333439141743,-13.183957647484172,-3.6656242837919057,-10.16802286519616,40.60421131739115,4.234304703510883,31.65570938139927,24.6346124120876,-5.0672090691638205,8.78815317807189,-24.087339779328634,-30.746847668335683,27.368798214788246,-31.74784810604133,33.817209574547704,13.65793029599038,3.8729572550031808,-2.2098714931179413,-2.309348219902314,-15.956012607714095,7.539633480499092,-5.559725226149569,9.499264774858078,-16.457454461731547,2.233519581548593,-4.599532253275874,-14.792376250961121,-13.928918402891819,1.9029213585946203,1.8432005142948764,-5.954465115654072,6.808069624316752,-3.0141492074084217
27,94.62100046812722,49.507448255166736,-63.39264345212662,37.04436339345007,33.37948352516409,13.577171447064368,-1.4619021568253754,-5.12650739384607,5.596819871573542,-25.927377447206297,-4.759137294076677,-2.4045255614986862,11.631312814802065,-50.645577696767674,16.862886478588546,-3.3974130607454502,2.7869684658280827,-1.7944592315210102,-12.673218593645204,41.3318092198357,-20.40189351509142,1.7885909483256122,-14.15308130991612,-1.81637828105772,17.013564829996493,-8.241022832236151,4.6056136847809155,12.098246892759212,2.6682237338915793,-7.2523975137405134,1.747759239769988,-11.618936262251404,-4.988184865460611,10.606054850555763,-19.19933648433747,15.922546169744086
28,-76.58213058889629,6.080015955167642,39.41965833037312,41.39501312633108,27.213546363527296,-46.530800477639325,39.24939179216935,-7.686167742920697,-2.696089473689535,2.70885352865628,15.386263027852365,-4.252651565225855,-31.777685541162597,-27.594874004249306,1.6219265780865333,8.387825980026264,2.404664050736762,9.10777616478464,-0.6756689916388703,6.2301563361545,37.65587992296075,-6.790631245455533,-13.739959361565342,-10.27552266804146,-9.853662123552622,-15.81811874261825,24.22145183205306,10.92101860488334,-12.825249892276066,-2.162450566187495,6.622788756556149,2.277173691446504,-16.37959524927579,-4.968488958022792,-6.211917099178256,-15.855325042457165
31,7.022292314285301,1.2830249374001477,1.8313401888618774,-25.02291854923647,15.912669268470559,4.8483389849972856,-40.94755142262122,-44.182371677759065,46.22844172638573,14.586614350116673,13.167060914497526,4.890803088608034,35.764167328287286,31.506301863989577,-26.588102324421094,27.454956605237488,6.985006056456237,30.87951264435298,-11.179160475201673,2.079485174168817,-26.321864509532993,4.203468532723538,-12.775297945233293,19.156041723143137,14.65714516051427,8.83346300957737,16.952204602195792,18.48933672540998,-19.840604518875466,-6.01969728976212,10.513849859196121,10.394384410960999,-8.522058408151807,0.26636302890645003,-9.541681515006186,-2.0994931599282864
35,35.28927484395892,88.59277052108548,64.43307853737114,-0.6916380798382274,7.890731230739884,8.017031316136862,7.238360400962449,17.75628807418454,33.62941217364807,-1.7677346503188007,-2.219736138782253,32.964192396720875,0.4967301789143611,1.4037440618716024,27.75768898124552,-0.7511622067879462,-11.487840929356773,6.211849842691355,18.613769395795483,23.187255538568397,5.610743586791103,8.494184035606391,-11.824988654853104,-34.209670959027356,10.817515854360371,15.27965162519382,2.3162764382987056,-23.461755248414704,-5.7036708359635355,14.413168745304839,-8.213607995696217,32.475892991236414,-1.0631037160371928,8.131641706010571,-0.7156131827526323,10.640757132125602
36,61.31043993215409,66.28224430464653,10.6373932820933,-18.544935901557142,-46.47200777624653,18.456848343544813,3.2305726245435467,1.2100493503385839,-43.23030669431472,4.109363566594843,-7.639909873736406,-16.31636166855102,-1.2474889235710795,-0.758465632124267,-9.035236175480787,26.56700274075009,6.839110890094496,-20.307943328391552,12.935500364533334,5.762923361789317,-11.254784581510458,-9.986415062328927,0.20341588479247508,-31.90324395441476,-6.608796003280011,-7.53419590185958,19.252385116851457,7.925593997159989,9.475330211239143,-10.950710672923966,13.195780347673375,5.004850984073625,-1.161818848759255,-3.1459697625385967,21.210533943771136,-12.510292443895338
40,45.16329871875971,7.4945578460740165,-6.816805349310077,-10.072320791917527,57.73680177929968,-30.613305328154805,8.235247945383232,-15.541203103445984,-19.00827120210821,-12.650871322537757,11.33378443070549,-35.26332805429586,7.862544511775249,-5.370515793304888,2.0106962277829172,-33.49030298086739,22.08573747102079,-13.904646924617978,13.410683738510752,-26.29189324930591,21.748379757488692,0.9997950172957171,-7.323564925848816,-17.583671653083954,5.188421780695341,4.87265567187437,-17.435929233256328,2.9900159910171555,1.9442094754232355,-16.46419604325664,-6.223677451900775,11.721653774211843,22.200365258831056,-7.0451132441005235,-1.067412518662688,8.786017595003306
41,16.41798870145851,-93.96703681914606,16.282581028163168,55.61177850487976,-34.689521940556205,-29.55432260279333,-43.28164151516613,12.394446389535187,6.920437818453352,-4.609075285020774,-1.1674296213355835,-9.03119994015056,-16.015953254790695,12.51656592107738,20.333689467884792,-9.96947876656133,-14.146729117796236,-9.032214396349548,-17.191688192868302,7.8320387900303405,-19.439731453592092,16.321398412166136,33.78204900693976,-0.5659745582743443,7.27623633589786,4.09001437369208,4.038864193267407,2.774162207564862,6.979887142104079,11.062676773548446,4.7439347032532835,24.063237668278575,2.3408808306859368,3.663594128937897,-10.280838344692715,-12.115347057366666
42,101.28661108132381,66.40056038401545,-17.386910879173904,22.29627508711807,-12.381468455854842,-24.35312838600088,5.0962460929049,45.3081616173976,-16.594129894381517,-9.912911519642064,-18.85308262676019,-40.6591299258967,-12.371784896444748,-8.543040836794367,-14.67662570944306,-4.329044038394766,0.026622356868284645,-6.5848586871103425,-6.226088314146782,-3.289659883523989,15.060938537304667,-7.1982359179842526,10.705875056875584,4.867766759185609,38.200261968362526,33.26049152145272,1.2617078480395412,13.29465251835848,-15.5562527407499,13.211149882281273,4.344259735094834,7.910327793508988,-1.2492341787968761,-12.43127777620219,3.749550250364158,-5.179741423215759
44,23.399091086189635,-52.10022730451105,53.60597576494098,-28.1329299838249,-4.709169631614005,-26.55677591839405,24.49553607344822,-1.6814304380104506,-61.62486298243719,40.670898568710484,-8.87710069434886,3.7138383917785447,37.20025487922875,12.53038464512845,14.179537884775838,-22.22152543819976,-0.7282999070345642,24.357886094404552,8.459953458323758,-23.096440298010776,-6.927943129011679,-11.027385272913207,8.415551310772036,4.898137031422907,-13.191322163935041,-13.113224491776043,3.71916848059684,-2.9896798108928384,-14.302754526734327,-12.047723122092885,-19.611112282634437,6.729653400006406,-9.995743389730249,10.768752310682817,-4.863111449293978,-1.237367427899579
